Company,Year_Founded,Segment,HQ,Total_Funding_USD_Est,Key_Product_Focus,Investors,Funding_Round_Type,Last_Funding_Date,Revenue_Model,Key_Customer_Type,Global_Competitor,Employees_Range
Skyroot Aerospace,2018,Launch Vehicles,Hyderabad,$99.8M,"Vikram-series orbital rockets, small-sat dedicated launches","Temasek, GIC, Sherpalo Ventures, Greenko Group, Arkam Ventures, Solar Industries, AUM Ventures",Series B (Pre-Series C),Oct-2023,Launch-as-a-Service,"Satellite operators, government agencies, ISRO rideshare",SpaceX / Rocket Lab / Firefly Aerospace,251-500
Pixxel,2019,Earth Observation,Bengaluru,$95M,"Hyperspectral satellite constellation (Firefly), Aurora analytics platform","Google, Radical Ventures, Seraphim Space, Lightspeed India, Omnivore VC, M&G Catalyst, Glade Brook Capital",Series B,Jan-2025,Data-as-a-Service,"Agriculture companies, mining firms, govt agencies, Rio Tinto, BP, NASA CSDA program",Planet Labs / Satellogic / Maxar,151-200
Agnikul Cosmos,2017,Launch Vehicles,Chennai,$85.8M,"3D-printed Agnibaan rockets, Agnilet engine, private launchpad at Sriharikota","HDFC Bank, 100X.VC, Advenza Global, Artha Select Fund, Anand Mahindra (personal), Entrepreneurs like pi Ventures",Pre-Series B,Nov-2025,Launch-as-a-Service,"Small satellite operators, research institutions, ISRO-tied missions",Rocket Lab / ABL Space / PLD Space,101-200
NewSpace Research,2018,Aerospace/UAS,Bengaluru,$73.3M,"Unmanned systems, collective robotics, defence drones","Defence funds, strategic investors (undisclosed)",Series A,2023,Defence Contract,"Indian Armed Forces, DRDO, MoD",Shield AI / Joby Aviation (defence UAS),201-500
EtherealX,2022,Spacecraft,Bengaluru,$25.5M,"Next-gen launch vehicles, reusable spacecraft concepts","Speciale Invest, SOSV, undisclosed angels",Seed,2024,Launch-as-a-Service,Small satellite operators,Relativity Space / Stoke Space,11-50
SatSure,2017,Data Analytics,Bengaluru,$29.5M,"Decision intelligence platform for agriculture, BFSI, infrastructure; KaleidEO EO data platform","Baring PE Partners India, TransUnion CIBIL, Promus Ventures, Omidyar Network India, HDFC Life Insurance, ICICI Bank",Series A,Sep-2025,SaaS Platform,"Banks (crop loan risk), insurance firms, agri ministries, Africa/LatAm expansion",Gro Intelligence / Descartes Labs / Farmonaut,101-200
Dhruva Space,2012,Satellite Systems,Hyderabad,$21.8M,"Full-stack satellite platforms, Solis+ solar panels, ground-station-as-a-service","Speciale Invest, pi Ventures, undisclosed family offices",Series A,2023,Ground Infrastructure + Hardware Sales,"ISRO, defence clients, private satellite operators, Pixxel (Solis+ partner)",AAC Clyde Space / EnduroSat / GomSpace,101-150
Digantara,2018,SSA,Bengaluru,$100M+,"Space-MAP debris tracking platform, SCOT surveillance satellite, AIRA sensing platform","Peak XV Partners (Sequoia India), Kalaari Capital, 360 ONE Asset, SBI Investment (Japan), Ronnie Screwvala, Aditya Birla Group, SIDBI Venture Capital",Series B,Apr-2026,Data-as-a-Service,"Satellite operators, US Space Command, Missile Defense Agency, defence agencies globally",LeoLabs / ExoAnalytic / SpaceFence (Lockheed),51-150
GalaxEye,2021,Earth Observation,Bengaluru,$18.8M,"Multi-sensor SAR + optical imaging (Drishti mission), all-weather EO","pi Ventures, Speciale Invest, Endiya Partners, undisclosed angels",Series A,Mar-2026,Data-as-a-Service,"Govt agencies, defence, disaster management, maritime surveillance",ICEYE / Capella Space / Umbra,51-100
InspeCity,2022,Space Robotics,Mumbai,$12M,"In-orbit satellite servicing, space station modules, orbital mechanics","SINE (IIT Bombay incubator), undisclosed angels and family offices",Seed,2023,Hardware Sales + Defence Contract,"Govt agencies, ISRO, future commercial satellite operators",Astroscale / Northrop Grumman (MEV),11-50
Bellatrix Aerospace,2015,Propulsion,Bengaluru,$34.4M,"Electric Hall-effect thrusters, green chemical propulsion, water-based plasma thrusters","Speciale Invest, ISRO Startup Program, undisclosed VCs",Series A,Mar-2026,Hardware Sales,"Satellite manufacturers, ISRO missions, Skyroot (propulsion partner)",Enpulsion / Bradford ECAPS / Aerojet,51-100
